test_id,group_id,group_name,group_type,smiles,formula,inchi,python_success,python_groups,python_n_groups,python_error
69,42,Specificity test for group 42,Specificity,[H]C(F)(F)C(C(F)(F)C(F)(F)F)(C(F)(I)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H4F21I,"InChI=1S/C11H2F21I/c12-1(5(15,16)17)3(8(21,22)23,9(24,25)26)4(2(13)14,6(18,19)10(27,28)29)7(20,33)11(30,31)32/h1-2H",True,"[21, 42, 48]",3,
70,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(C(F)(F)F)C(F)(F)C(F)(F)F)cc2O1,C11H3F11O2,"InChI=1S/C11H3F11O2/c12-7(9(15,16)17,8(13,14)10(18,19)20)4-1-2-5-6(3-4)24-11(21,22)23-5/h1-3H",True,"[22, 31, 46, 48, 51]",5,
71,22,Specificity test for group 22,Specificity,FC1(F)Oc2ccc(C(F)(C(F)(F)F)C(F)(F)C(F)(F)F)cc2O1,C11H3F11O2,"InChI=1S/C11H3F11O2/c12-7(9(15,16)17,8(13,14)10(18,19)20)4-1-2-5-6(3-4)24-11(21,22)23-5/h1-3H",True,"[22, 31, 46, 48, 51]",5,
72,31,Specificity test for group 31,Specificity,FC1(F)Oc2ccc(C(F)(C(F)(F)F)C(F)(F)C(F)(F)F)cc2O1,C11H3F11O2,"InChI=1S/C11H3F11O2/c12-7(9(15,16)17,8(13,14)10(18,19)20)4-1-2-5-6(3-4)24-11(21,22)23-5/h1-3H",True,"[22, 31, 46, 48, 51]",5,
73,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(C(F)(F)F)C(F)(F)C(F)(F)F)cc2O1,C11H3F11O2,"InChI=1S/C11H3F11O2/c12-7(9(15,16)17,8(13,14)10(18,19)20)4-1-2-5-6(3-4)24-11(21,22)23-5/h1-3H",True,"[22, 31, 46, 48, 51]",5,
74,51,Specificity test for group 51,Specificity,FC1(F)Oc2ccc(C(F)(C(F)(F)F)C(F)(F)C(F)(F)F)cc2O1,C11H3F11O2,"InChI=1S/C11H3F11O2/c12-7(9(15,16)17,8(13,14)10(18,19)20)4-1-2-5-6(3-4)24-11(21,22)23-5/h1-3H",True,"[22, 31, 46, 48, 51]",5,
75,2,Specificity test for group 2,Specificity,[H]C(F)(C(=O)O)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H5F19O3,"InChI=1S/C11H3F19O3/c12-1(2(31)32)5(33-11(28,29)30,7(17,18)10(25,26)27)4(8(19,20)21,9(22,23)24)3(13)6(14,15)16/h1,3H,(H,31,32)",True,"[2, 31, 33, 48]",4,
76,5,Specificity test for group 5,Specificity,[H]C(F)(C(=O)O)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H5F19O3,"InChI=1S/C11H3F19O3/c12-1(2(31)32)5(33-11(28,29)30,7(17,18)10(25,26)27)4(8(19,20)21,9(22,23)24)3(13)6(14,15)16/h1,3H,(H,31,32)",True,"[2, 31, 33, 48]",4,
77,31,Specificity test for group 31,Specificity,[H]C(F)(C(=O)O)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H5F19O3,"InChI=1S/C11H3F19O3/c12-1(2(31)32)5(33-11(28,29)30,7(17,18)10(25,26)27)4(8(19,20)21,9(22,23)24)3(13)6(14,15)16/h1,3H,(H,31,32)",True,"[2, 31, 33, 48]",4,
78,33,Specificity test for group 33,Specificity,[H]C(F)(C(=O)O)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H5F19O3,"InChI=1S/C11H3F19O3/c12-1(2(31)32)5(33-11(28,29)30,7(17,18)10(25,26)27)4(8(19,20)21,9(22,23)24)3(13)6(14,15)16/h1,3H,(H,31,32)",True,"[2, 31, 33, 48]",4,
79,34,Specificity test for group 34,Specificity,[H]C(F)(F)C(NC(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H5F20NO,"InChI=1S/C11H3F20NO/c12-1(6(15,16)17)4(9(23,24)25,10(26,27)28)5(2(13)14,8(21,22)11(29,30)31)32-3(33)7(18,19)20/h1-2H,(H,32,33)",True,"[34, 48]",2,
80,45,Specificity test for group 45,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(c1ccccn1)C(F)(F)F,C11H4F13N,"InChI=1S/C11H4F13N/c12-6(10(19,20)21,5-3-1-2-4-25-5)7(13,14)8(15,16)9(17,18)11(22,23)24/h1-4H",True,"[22, 45, 48, 51]",4,
81,45,Specificity test for group 45,Specificity,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C11H4F13N,"InChI=1S/C11H4F13N/c12-6(13,5-3-1-2-4-25-5)7(9(16,17)18,10(19,20)21)8(14,15)11(22,23)24/h1-4H",True,"[22, 45, 48, 51]",4,
82,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1,C11H5F11,"InChI=1S/C11H5F11/c12-7(13,6-4-2-1-3-5-6)8(14,15)9(16,17)10(18,19)11(20,21)22/h1-5H",True,"[22, 48, 51]",3,
83,22,Specificity test for group 22,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1,C11H5F11,"InChI=1S/C11H5F11/c12-7(13,6-4-2-1-3-5-6)8(14,15)9(16,17)10(18,19)11(20,21)22/h1-5H",True,"[22, 48, 51]",3,
84,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1,C11H5F11,"InChI=1S/C11H5F11/c12-7(13,6-4-2-1-3-5-6)8(14,15)9(16,17)10(18,19)11(20,21)22/h1-5H",True,"[22, 48, 51]",3,
85,51,Specificity test for group 51,Specificity,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccc1,C11H5F11,"InChI=1S/C11H5F11/c12-7(13,6-4-2-1-3-5-6)8(9(14,15)16,10(17,18)19)11(20,21)22/h1-5H",True,"[22, 51]",2,
86,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccc1,C11H5F11,"InChI=1S/C11H5F11/c12-7(13,6-4-2-1-3-5-6)9(15,16)8(14,10(17,18)19)11(20,21)22/h1-5H",True,"[22, 48, 51]",3,
87,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccc1,C11H6F10,"InChI=1S/C11H6F10/c12-7(13)8(10(16,17)18,11(19,20)21)9(14,15)6-4-2-1-3-5-6/h1-5,7H",True,"[22, 51]",2,
88,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccc1,C11H6F10,"InChI=1S/C11H6F10/c12-7(13)8(10(16,17)18,11(19,20)21)9(14,15)6-4-2-1-3-5-6/h1-5,7H",True,"[22, 51]",2,
89,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccc1,C11H6F10,"InChI=1S/C11H6F10/c12-7(13)8(14,11(19,20)21)10(17,18)9(15,16)6-4-2-1-3-5-6/h1-5,7H",True,"[22, 48, 51]",3,
90,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccc1,C11H6F10,"InChI=1S/C11H6F10/c12-7(13)8(14,11(19,20)21)10(17,18)9(15,16)6-4-2-1-3-5-6/h1-5,7H",True,"[22, 48, 51]",3,
91,22,Specificity test for group 22,Specificity,[H]C([H])(F)C(C(F)(F)F)(C(F)(F)c1ccccn1)C(F)(F)C(F)(F)F,C11H6F11N,"InChI=1S/C11H6F11N/c12-5-7(10(17,18)19,9(15,16)11(20,21)22)8(13,14)6-3-1-2-4-23-6/h1-4H,5H2",True,"[22, 45, 48, 51]",4,
92,45,Specificity test for group 45,Specificity,[H]C([H])(F)C(C(F)(F)F)(C(F)(F)c1ccccn1)C(F)(F)C(F)(F)F,C11H6F11N,"InChI=1S/C11H6F11N/c12-5-7(10(17,18)19,9(15,16)11(20,21)22)8(13,14)6-3-1-2-4-23-6/h1-4H,5H2",True,"[22, 45, 48, 51]",4,
93,51,Specificity test for group 51,Specificity,[H]C([H])(F)C(C(F)(F)F)(C(F)(F)c1ccccn1)C(F)(F)C(F)(F)F,C11H6F11N,"InChI=1S/C11H6F11N/c12-5-7(10(17,18)19,9(15,16)11(20,21)22)8(13,14)6-3-1-2-4-23-6/h1-4H,5H2",True,"[22, 45, 48, 51]",4,
94,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(F)(F)C(F)(F)C([H])(F)C(F)(c1ccccn1)C(F)(F)F,C11H6F11N,"InChI=1S/C11H6F11N/c12-6(9(16,17)10(18,19)7(13)14)8(15,11(20,21)22)5-3-1-2-4-23-5/h1-4,6-7H",True,"[22, 45, 48, 51]",4,
95,45,Specificity test for group 45,Specificity,[H]C(F)(F)C(F)(F)C(F)(F)C([H])(F)C(F)(c1ccccn1)C(F)(F)F,C11H6F11N,"InChI=1S/C11H6F11N/c12-6(9(16,17)10(18,19)7(13)14)8(15,11(20,21)22)5-3-1-2-4-23-5/h1-4,6-7H",True,"[22, 45, 48, 51]",4,
96,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(F)(F)C(F)(F)C([H])(F)C(F)(c1ccccn1)C(F)(F)F,C11H6F11N,"InChI=1S/C11H6F11N/c12-6(9(16,17)10(18,19)7(13)14)8(15,11(20,21)22)5-3-1-2-4-23-5/h1-4,6-7H",True,"[22, 45, 48, 51]",4,
97,1,Specificity test for group 1,Specificity,O=C(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11HF21O2,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(7(18,19)20,5(14,15)10(27,28)29)4(8(21,22)23,9(24,25)26)6(16,17)11(30,31)32/h(H,33,34)",True,"[1, 2, 33, 48]",4,
98,33,Specificity test for group 33,Specificity,O=C(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11HF21O2,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(7(18,19)20,5(14,15)10(27,28)29)4(8(21,22)23,9(24,25)26)6(16,17)11(30,31)32/h(H,33,34)",True,"[1, 2, 33, 48]",4,
99,4,Specificity test for group 4,Specificity,O=C(O)C(F)(F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11H3F21O3,"InChI=1S/C11HF21O3/c12-2(13,1(33)34)4(35-11(30,31)32,6(16,17)10(27,28)29)3(7(18,19)20,8(21,22)23)5(14,15)9(24,25)26/h(H,33,34)",True,"[1, 2, 31, 33, 48]",5,
100,34,Specificity test for group 34,Specificity,O=C(NC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,C11H3F22NO,"InChI=1S/C11HF22NO/c12-2(13,14)1(35)34-4(9(25,26)27,6(17,18)11(31,32)33)3(7(19,20)21,8(22,23)24)5(15,16)10(28,29)30/h(H,34,35)",True,"[34, 48]",2,
101,50,Specificity test for group 50,Specificity,FC(F)(F)C#CC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C12H2F22,"InChI=1S/C12F22/c13-4(14,15)2-1-3(8(20,21)22,6(16,17)11(29,30)31)5(9(23,24)25,10(26,27)28)7(18,19)12(32,33)34",True,"[48, 50]",2,
102,18,Specificity test for group 18,Specificity,FC(=C(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,C12H2F24,"InChI=1S/C12F24/c13-1(2(14)4(15,16)17)3(8(22,23)24,6(18,19)11(31,32)33)5(9(25,26)27,10(28,29)30)7(20,21)12(34,35)36",True,"[18, 19, 41, 48, 49]",5,
103,41,Specificity test for group 41,Specificity,FC(=C(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,C12H2F24,"InChI=1S/C12F24/c13-1(2(14)4(15,16)17)3(8(22,23)24,6(18,19)11(31,32)33)5(9(25,26)27,10(28,29)30)7(20,21)12(34,35)36",True,"[18, 19, 41, 48, 49]",5,
104,49,Specificity test for group 49,Specificity,FC(=C(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,C12H2F24,"InChI=1S/C12F24/c13-1(2(14)4(15,16)17)3(8(22,23)24,6(18,19)11(31,32)33)5(9(25,26)27,10(28,29)30)7(20,21)12(34,35)36",True,"[18, 19, 41, 48, 49]",5,
105,50,Specificity test for group 50,Specificity,[H]C(F)(F)C(C#CC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C12H4F20,"InChI=1S/C12H2F20/c13-3(8(19,20)21)7(10(24,25)26,11(27,28)29)5(4(14)15,1-2-6(16,17)18)9(22,23)12(30,31)32/h3-4H",True,"[48, 50]",2,
106,3,Specificity test for group 3,Specificity,O=C(O)C(F)(F)C(C(F)(F)C(=O)O)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C12H2F20O4,"InChI=1S/C12H2F20O4/c13-3(14,1(33)34)5(4(15,16)2(35)36,7(17,18)11(27,28)29)6(9(21,22)23,10(24,25)26)8(19,20)12(30,31)32/h(H,33,34)(H,35,36)",True,"[33, 48]",2,
107,41,Specificity test for group 41,Specificity,[H]C(F)(F)C(C(F)=C(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C12H4F22,"InChI=1S/C12H2F22/c13-1(2(14)7(18,19)20)5(4(16)17,9(24,25)12(32,33)34)6(10(26,27)28,11(29,30)31)3(15)8(21,22)23/h3-4H",True,"[19, 41, 48, 49]",4,
108,49,Specificity test for group 49,Specificity,[H]C(F)(F)C(C(F)=C(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C12H4F22,"InChI=1S/C12H2F22/c13-1(2(14)7(18,19)20)5(4(16)17,9(24,25)12(32,33)34)6(10(26,27)28,11(29,30)31)3(15)8(21,22)23/h3-4H",True,"[19, 41, 48, 49]",4,
109,32,Specificity test for group 32,Specificity,O=C(OCC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,C12H4F22O2,"InChI=1S/C12H2F22O2/c13-4(14,15)2(35)36-1-3(8(20,21)22,6(16,17)11(29,30)31)5(9(23,24)25,10(26,27)28)7(18,19)12(32,33)34/h1H2",True,"[32, 48]",2,
110,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2O1,C12H3F13O2,"InChI=1S/C12H3F13O2/c13-7(14,4-1-2-5-6(3-4)27-12(24,25)26-5)8(15,16)9(17,18)10(19,20)11(21,22)23/h1-3H",True,"[22, 31, 46, 48, 51]",5,
111,22,Specificity test for group 22,Specificity,FC1(F)Oc2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2O1,C12H3F13O2,"InChI=1S/C12H3F13O2/c13-7(14,4-1-2-5-6(3-4)27-12(24,25)26-5)8(15,16)9(17,18)10(19,20)11(21,22)23/h1-3H",True,"[22, 31, 46, 48, 51]",5,
112,31,Specificity test for group 31,Specificity,FC1(F)Oc2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2O1,C12H3F13O2,"InChI=1S/C12H3F13O2/c13-7(14,4-1-2-5-6(3-4)27-12(24,25)26-5)8(15,16)9(17,18)10(19,20)11(21,22)23/h1-3H",True,"[22, 31, 46, 48, 51]",5,
113,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2O1,C12H3F13O2,"InChI=1S/C12H3F13O2/c13-7(14,4-1-2-5-6(3-4)27-12(24,25)26-5)8(15,16)9(17,18)10(19,20)11(21,22)23/h1-3H",True,"[22, 31, 46, 48, 51]",5,
114,51,Specificity test for group 51,Specificity,FC1(F)Oc2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2O1,C12H3F13O2,"InChI=1S/C12H3F13O2/c13-7(14,4-1-2-5-6(3-4)27-12(24,25)26-5)8(15,16)9(17,18)10(19,20)11(21,22)23/h1-3H",True,"[22, 31, 46, 48, 51]",5,
115,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc2O1,C12H3F13O2,"InChI=1S/C12H3F13O2/c13-7(14,4-1-2-5-6(3-4)27-12(24,25)26-5)8(9(15,16)17,10(18,19)20)11(21,22)23/h1-3H",True,"[22, 31, 46, 51]",4,
116,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)cc2O1,C12H3F13O2,"InChI=1S/C12H3F13O2/c13-7(14,4-1-2-5-6(3-4)27-12(24,25)26-5)9(16,17)8(15,10(18,19)20)11(21,22)23/h1-3H",True,"[22, 31, 46, 48, 51]",5,
117,19,Specificity test for group 19,Specificity,[H]C(F)(F)C(C=C(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C12H5F21,"InChI=1S/C12H3F21/c13-2(7(17,18)19)1-5(4(15)16,9(23,24)12(31,32)33)6(10(25,26)27,11(28,29)30)3(14)8(20,21)22/h1,3-4H",True,"[19, 41, 48, 49]",4,
118,49,Specificity test for group 49,Specificity,[H]C(F)(F)C(C=C(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C12H5F21,"InChI=1S/C12H3F21/c13-2(7(17,18)19)1-5(4(15)16,9(23,24)12(31,32)33)6(10(25,26)27,11(28,29)30)3(14)8(20,21)22/h1,3-4H",True,"[19, 41, 48, 49]",4,
119,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(10(17,18)19,11(20,21)22)9(15,16)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 51]",4,
120,31,Specificity test for group 31,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(10(17,18)19,11(20,21)22)9(15,16)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 51]",4,
121,46,Specificity test for group 46,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(10(17,18)19,11(20,21)22)9(15,16)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 51]",4,
122,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(10(17,18)19,11(20,21)22)9(15,16)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 51]",4,
123,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(15,11(20,21)22)10(18,19)9(16,17)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 48, 51]",5,
124,31,Specificity test for group 31,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(15,11(20,21)22)10(18,19)9(16,17)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 48, 51]",5,
125,46,Specificity test for group 46,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(15,11(20,21)22)10(18,19)9(16,17)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 48, 51]",5,
126,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccc2c(c1)OC(F)(F)O2,C12H4F12O2,"InChI=1S/C12H4F12O2/c13-7(14)8(15,11(20,21)22)10(18,19)9(16,17)4-1-2-5-6(3-4)26-12(23,24)25-5/h1-3,7H",True,"[22, 31, 46, 48, 51]",5,
127,45,Specificity test for group 45,Specificity,FC(F)(F)C(F)(C(F)(F)c1ccccn1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C12H4F15N,"InChI=1S/C12H4F15N/c13-6(14,5-3-1-2-4-28-5)8(15,12(25,26)27)7(9(16,17)18,10(19,20)21)11(22,23)24/h1-4H",True,"[22, 45, 48, 51]",4,
128,32,Specificity test for group 32,Specificity,[H]C(F)(F)C(COC(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C12H6F20O2,"InChI=1S/C12H4F20O2/c13-2(7(16,17)18)6(10(24,25)26,11(27,28)29)5(3(14)15,9(22,23)12(30,31)32)1-34-4(33)8(19,20)21/h2-3H,1H2",True,"[32, 48]",2,
129,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(c1ccccc1)C(F)(F)F,C12H5F13,"InChI=1S/C12H5F13/c13-7(11(20,21)22,6-4-2-1-3-5-6)8(14,15)9(16,17)10(18,19)12(23,24)25/h1-5H",True,"[22, 48, 51]",3,
130,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccc1,C12H5F13,"InChI=1S/C12H5F13/c13-7(14,6-4-2-1-3-5-6)8(10(17,18)19,11(20,21)22)9(15,16)12(23,24)25/h1-5H",True,"[22, 48, 51]",3,
131,22,Specificity test for group 22,Specificity,[H]C([H])(F)C(C(F)(F)F)(C([H])(F)c1ccccc1)C(F)(F)C(F)(F)F,C12H8F10,"InChI=1S/C12H8F10/c13-6-9(11(17,18)19,10(15,16)12(20,21)22)8(14)7-4-2-1-3-5-7/h1-5,8H,6H2",True,"[22, 48, 51]",3,
132,51,Specificity test for group 51,Specificity,[H]C([H])(F)C(C(F)(F)F)(C([H])(F)c1ccccc1)C(F)(F)C(F)(F)F,C12H8F10,"InChI=1S/C12H8F10/c13-6-9(11(17,18)19,10(15,16)12(20,21)22)8(14)7-4-2-1-3-5-7/h1-5,8H,6H2",True,"[22, 48, 51]",3,
133,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(F)(F)C(F)(F)C([H])(F)C([H])(c1ccccc1)C(F)(F)F,C12H8F10,"InChI=1S/C12H8F10/c13-8(10(16,17)11(18,19)9(14)15)7(12(20,21)22)6-4-2-1-3-5-6/h1-5,7-9H",True,"[22, 48, 51]",3,
134,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(F)(F)C(F)(F)C([H])(F)C([H])(c1ccccc1)C(F)(F)F,C12H8F10,"InChI=1S/C12H8F10/c13-8(10(16,17)11(18,19)9(14)15)7(12(20,21)22)6-4-2-1-3-5-6/h1-5,7-9H",True,"[22, 48, 51]",3,
135,22,Specificity test for group 22,Specificity,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ccccn1,C12H8F11N,"InChI=1S/C12H8F11N/c13-5-9(7(14)15,8(16)17)11(20,12(21,22)23)10(18,19)6-3-1-2-4-24-6/h1-4,7-8H,5H2",True,"[22, 45, 48, 51]",4,
136,45,Specificity test for group 45,Specificity,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ccccn1,C12H8F11N,"InChI=1S/C12H8F11N/c13-5-9(7(14)15,8(16)17)11(20,12(21,22)23)10(18,19)6-3-1-2-4-24-6/h1-4,7-8H,5H2",True,"[22, 45, 48, 51]",4,
137,51,Specificity test for group 51,Specificity,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ccccn1,C12H8F11N,"InChI=1S/C12H8F11N/c13-5-9(7(14)15,8(16)17)11(20,12(21,22)23)10(18,19)6-3-1-2-4-24-6/h1-4,7-8H,5H2",True,"[22, 45, 48, 51]",4,
138,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2O1,C13H3F15O2,"InChI=1S/C13H3F15O2/c14-7(11(21,22)23,4-1-2-5-6(3-4)30-13(27,28)29-5)8(15,16)9(17,18)10(19,20)12(24,25)26/h1-3H",True,"[22, 31, 46, 48, 51]",5,
139,46,Specificity test for group 46,Specificity,FC1(F)Oc2ccc(C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)cc2O1,C13H3F15O2,"InChI=1S/C13H3F15O2/c14-7(15,4-1-2-5-6(3-4)30-13(27,28)29-5)8(10(18,19)20,11(21,22)23)9(16,17)12(24,25)26/h1-3H",True,"[22, 31, 46, 48, 51]",5,
140,44,Specificity test for group 44,Specificity,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)c1ncc[nH]1)C(F)(F)C(F)(F)F,C13H3F21N2,"InChI=1S/C13H3F21N2/c14-4(15,3-35-1-2-36-3)5(9(20,21)22,7(16,17)12(29,30)31)6(10(23,24)25,11(26,27)28)8(18,19)13(32,33)34/h1-2H,(H,35,36)",True,"[22, 44, 48, 51]",4,
141,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(F)(F)C(F)(F)C([H])(F)C(F)(c1ccc2c(c1)OC(F)(F)O2)C(F)(F)F,C13H5F13O2,"InChI=1S/C13H5F13O2/c14-7(10(18,19)11(20,21)8(15)16)9(17,12(22,23)24)4-1-2-5-6(3-4)28-13(25,26)27-5/h1-3,7-8H",True,"[22, 31, 46, 48, 51]",5,
